ejecucion,iteracion,gbest_gen,average,gbest_historico
2026-04-04 16:36:22.541308Z,1,3.230344572915323,25.24182451067509,3.230344572915323
2026-04-04 16:36:22.541308Z,2,2.641323244484762,21.589007898872865,2.641323244484762
2026-04-04 16:36:22.541308Z,3,1.4163307780999936,19.493264111365104,1.4163307780999936
2026-04-04 16:36:22.541308Z,4,0.13508151230980303,15.858525709984358,0.13508151230980303
2026-04-04 16:36:22.541308Z,5,0.13508151230980303,14.625421540681254,0.13508151230980303
2026-04-04 16:36:22.541308Z,6,0.13508151230980303,15.665354009331873,0.13508151230980303
2026-04-04 16:36:22.541308Z,7,0.04287631649406798,16.185975050380602,0.04287631649406798
2026-04-04 16:36:22.541308Z,8,0.04287631649406798,15.402905941271328,0.04287631649406798
2026-04-04 16:36:22.541308Z,9,0.04287631649406798,14.390457538313417,0.04287631649406798
2026-04-04 16:36:22.541308Z,10,0.030025138132755202,12.57871574758917,0.030025138132755202
2026-04-04 16:36:22.541308Z,11,0.030025138132755202,12.205205651057385,0.030025138132755202
2026-04-04 16:36:22.541308Z,12,0.030025138132755202,12.154780370711796,0.030025138132755202
2026-04-04 16:36:22.541308Z,13,0.030025138132755202,10.054188278565064,0.030025138132755202
2026-04-04 16:36:22.541308Z,14,0.030025138132755202,9.646817249868503,0.030025138132755202
2026-04-04 16:36:22.541308Z,15,0.030025138132755202,10.50322409726697,0.030025138132755202
2026-04-04 16:36:22.541308Z,16,0.030025138132755202,9.815391428046684,0.030025138132755202
2026-04-04 16:36:22.541308Z,17,0.01251051827768812,6.775299659319051,0.01251051827768812
2026-04-04 16:36:22.541308Z,18,0.006703750626760652,4.40302100704125,0.006703750626760652
2026-04-04 16:36:22.541308Z,19,0.003833482580363423,4.845797420641557,0.003833482580363423
2026-04-04 16:36:22.541308Z,20,0.000563154282360756,3.8834150442538156,0.000563154282360756
2026-04-04 16:36:22.541308Z,21,0.000563154282360756,5.162756610017985,0.000563154282360756
2026-04-04 16:36:22.541308Z,22,0.00030100286705447843,6.239992958914825,0.00030100286705447843
2026-04-04 16:36:22.541308Z,23,0.00012365708089134841,5.510049043820668,0.00012365708089134841
2026-04-04 16:36:22.541308Z,24,0.00012365708089134841,5.2381414902081636,0.00012365708089134841
2026-04-04 16:36:22.541308Z,25,0.00011429743271484938,4.9406463869806085,0.00011429743271484938
2026-04-04 16:36:22.541308Z,26,0.00011429743271484938,4.1959643577605625,0.00011429743271484938
